Customer ID,Customer Name,Phone Number,Gender,Age,Customer Region,Customer Type,Product ID,Product Name,Brand,Product Category,Tags,Quantity,Price per Unit,Discount Percentage,Total Amount,Final Amount,Date,Payment Method,Order Status,Delivery Type,Store ID,Store Location,Salesperson ID,Employee Name
CUST000011,Emily Davis,9587720666,Male,44,West,Premium,PROD000011,Electronics Product,Brand2,Electronics,Electronics,9,1574,8,14166,13032.72,2024-05-04,Cash,Pending,Home Delivery,STORE6,West,EMP084,Mike Johnson
CUST000012,Emily Davis,9634266918,Female,49,East,Regular,PROD000012,Sports Product,Brand5,Sports,Sports,7,880,6,6160,5790.40,2024-10-08,Cash,Pending,Home Delivery,STORE7,East,EMP047,Mike Johnson
CUST000013,Chris Wilson,9903627847,Female,46,East,Regular,PROD000013,Clothing Product,Brand3,Clothing,Clothing,8,3854,11,30832,27440.48,2024-01-09,Credit Card,Pending,Store Pickup,STORE7,East,EMP023,Mike Johnson
CUST000014,John Doe,9393529581,Male,28,West,Premium,PROD000014,Sports Product,Brand1,Sports,Sports,10,1106,14,11060,9511.60,2024-04-22,Cash,Cancelled,Store Pickup,STORE10,West,EMP046,David Brown
CUST000015,David Brown,9513242893,Female,64,South,Premium,PROD000015,Electronics Product,Brand2,Electronics,Electronics,2,1568,5,3136,2979.20,2024-07-26,UPI,Completed,Store Pickup,STORE10,South,EMP036,John Doe
CUST000016,Mike Johnson,9162741441,Female,47,North,Premium,PROD000016,Home Product,Brand4,Home,Home,10,3715,23,37150,28605.50,2024-07-19,Cash,Pending,Store Pickup,STORE8,North,EMP076,Lisa Anderson
CUST000017,Mike Johnson,9977340482,Male,48,South,Premium,PROD000017,Clothing Product,Brand1,Clothing,Clothing,9,1313,11,11817,10517.13,2024-02-19,Cash,Completed,Home Delivery,STORE2,South,EMP098,Jane Smith
CUST000018,Mike Johnson,9726703592,Female,56,South,Premium,PROD000018,Electronics Product,Brand5,Electronics,Electronics,10,1773,15,17730,15070.50,2024-07-20,UPI,Cancelled,Store Pickup,STORE2,South,EMP074,Sarah Williams
CUST000019,Chris Wilson,9801672536,Female,44,Central,Premium,PROD000019,Electronics Product,Brand5,Electronics,Electronics,6,1618,10,9708,8737.20,2024-08-27,UPI,Pending,Home Delivery,STORE8,Central,EMP018,Chris Wilson
CUST000020,John Doe,9457570921,Male,64,West,Premium,PROD000020,Home Product,Brand1,Home,Home,1,5321,13,5321,4629.27,2024-05-01,UPI,Completed,Store Pickup,STORE8,West,EMP097,Emily Davis
CUST000021,Sarah Williams,9457977186,Male,38,West,Premium,PROD000021,Clothing Product,Brand4,Clothing,Clothing,2,1701,14,3402,2925.72,2024-12-04,Cash,Cancelled,Store Pickup,STORE1,West,EMP059,Mike Johnson
CUST000022,Mike Johnson,9542481326,Male,51,North,Premium,PROD000022,Sports Product,Brand5,Sports,Sports,8,2940,23,23520,18110.40,2024-04-01,Cash,Cancelled,Home Delivery,STORE4,North,EMP021,Mike Johnson
CUST000023,Chris Wilson,9593187472,Female,25,West,Premium,PROD000023,Electronics Product,Brand1,Electronics,Electronics,2,2469,25,4938,3703.50,2024-07-13,Credit Card,Completed,Home Delivery,STORE6,West,EMP091,Mike Johnson
CUST000024,Emily Davis,9330142574,Female,30,East,Premium,PROD000024,Sports Product,Brand5,Sports,Sports,9,804,18,7236,5933.52,2024-03-06,UPI,Completed,Home Delivery,STORE6,East,EMP080,Lisa Anderson
CUST000025,Mike Johnson,9478641066,Female,31,West,Regular,PROD000025,Sports Product,Brand1,Sports,Sports,5,3421,29,17105,12144.55,2024-06-27,Debit Card,Cancelled,Home Delivery,STORE2,West,EMP064,Emily Davis
CUST000026,Sarah Williams,9505263681,Male,56,West,Premium,PROD000026,Clothing Product,Brand1,Clothing,Clothing,3,719,0,2157,2157.00,2024-02-21,Cash,Completed,Home Delivery,STORE10,West,EMP074,Chris Wilson
CUST000027,John Doe,9228221430,Female,64,East,Premium,PROD000027,Beauty Product,Brand1,Beauty,Beauty,4,4193,20,16772,13417.60,2024-08-03,Cash,Cancelled,Store Pickup,STORE10,East,EMP054,David Brown
CUST000028,David Brown,9977002009,Female,31,South,Regular,PROD000028,Clothing Product,Brand4,Clothing,Clothing,5,2532,8,12660,11647.20,2024-09-10,UPI,Pending,Store Pickup,STORE6,South,EMP098,John Doe
CUST000029,Jane Smith,9393919554,Male,62,Central,Regular,PROD000029,Sports Product,Brand5,Sports,Sports,9,2899,6,26091,24525.54,2024-09-15,UPI,Cancelled,Store Pickup,STORE8,Central,EMP063,Jane Smith
CUST000030,Sarah Williams,9433152654,Female,22,North,Regular,PROD000030,Home Product,Brand5,Home,Home,10,5426,0,54260,54260.00,2024-02-09,Cash,Pending,Store Pickup,STORE3,North,EMP017,John Doe
CUST000031,John Doe,9870949613,Male,33,South,Regular,PROD000031,Electronics Product,Brand2,Electronics,Electronics,8,3061,7,24488,22773.84,2024-08-18,Cash,Completed,Home Delivery,STORE3,South,EMP016,Sarah Williams
CUST000032,David Brown,9108061336,Male,57,North,Regular,PROD000032,Beauty Product,Brand5,Beauty,Beauty,2,5043,20,10086,8068.80,2024-09-06,UPI,Cancelled,Store Pickup,STORE8,North,EMP092,Lisa Anderson
CUST000033,Chris Wilson,9543169666,Female,45,West,Regular,PROD000033,Electronics Product,Brand4,Electronics,Electronics,4,5161,11,20644,18373.16,2024-01-20,UPI,Cancelled,Home Delivery,STORE4,West,EMP040,Jane Smith
CUST000034,Mike Johnson,9842394959,Male,37,Central,Premium,PROD000034,Electronics Product,Brand1,Electronics,Electronics,4,858,3,3432,3329.04,2024-03-11,Debit Card,Completed,Home Delivery,STORE5,Central,EMP018,Emily Davis
CUST000035,Mike Johnson,9527173550,Female,49,North,Premium,PROD000035,Electronics Product,Brand4,Electronics,Electronics,1,2774,26,2774,2052.76,2024-12-25,Debit Card,Cancelled,Home Delivery,STORE2,North,EMP081,John Doe
CUST000036,David Brown,9851634793,Male,44,East,Premium,PROD000036,Clothing Product,Brand4,Clothing,Clothing,7,3905,16,27335,22961.40,2024-05-08,Debit Card,Cancelled,Store Pickup,STORE5,East,EMP012,John Doe
CUST000037,Mike Johnson,9907201499,Female,53,Central,Premium,PROD000037,Home Product,Brand5,Home,Home,10,2830,24,28300,21508.00,2024-07-09,Cash,Cancelled,Store Pickup,STORE3,Central,EMP067,David Brown
CUST000038,Sarah Williams,9455237806,Male,28,South,Regular,PROD000038,Clothing Product,Brand5,Clothing,Clothing,5,5211,14,26055,22407.30,2024-04-09,Cash,Cancelled,Home Delivery,STORE3,South,EMP081,Mike Johnson
CUST000039,Chris Wilson,9676785947,Female,38,South,Regular,PROD000039,Sports Product,Brand1,Sports,Sports,6,2234,9,13404,12197.64,2024-04-16,UPI,Pending,Home Delivery,STORE9,South,EMP091,Jane Smith
CUST000040,Sarah Williams,9929890380,Female,50,West,Regular,PROD000040,Beauty Product,Brand4,Beauty,Beauty,8,1606,7,12848,11948.64,2024-12-03,Debit Card,Pending,Home Delivery,STORE2,West,EMP024,Jane Smith
CUST000041,Jane Smith,9760111241,Female,50,West,Premium,PROD000041,Clothing Product,Brand1,Clothing,Clothing,8,4445,26,35560,26314.40,2024-06-06,Credit Card,Cancelled,Home Delivery,STORE6,West,EMP013,Mike Johnson
CUST000042,David Brown,9549202963,Female,23,Central,Regular,PROD000042,Home Product,Brand4,Home,Home,2,4695,14,9390,8075.40,2024-09-19,Debit Card,Cancelled,Home Delivery,STORE1,Central,EMP042,Emily Davis
CUST000043,Emily Davis,9518007195,Female,44,West,Premium,PROD000043,Sports Product,Brand2,Sports,Sports,1,1348,2,1348,1321.04,2024-12-07,Credit Card,Pending,Store Pickup,STORE4,West,EMP056,David Brown
CUST000044,Jane Smith,9497175193,Female,24,Central,Regular,PROD000044,Clothing Product,Brand2,Clothing,Clothing,2,3375,1,6750,6682.50,2024-02-17,Cash,Completed,Store Pickup,STORE5,Central,EMP061,Mike Johnson
CUST000045,John Doe,9398736830,Female,57,North,Regular,PROD000045,Clothing Product,Brand5,Clothing,Clothing,1,2519,16,2519,2115.96,2024-01-02,UPI,Pending,Store Pickup,STORE8,North,EMP096,Mike Johnson
CUST000046,Jane Smith,9122072150,Male,67,North,Regular,PROD000046,Clothing Product,Brand5,Clothing,Clothing,4,1298,24,5192,3945.92,2024-12-12,UPI,Completed,Home Delivery,STORE9,North,EMP001,David Brown
CUST000047,John Doe,9472669840,Male,68,West,Regular,PROD000047,Sports Product,Brand5,Sports,Sports,3,3397,16,10191,8560.44,2024-02-25,UPI,Cancelled,Store Pickup,STORE1,West,EMP066,Chris Wilson
CUST000048,David Brown,9426434805,Female,64,North,Regular,PROD000048,Electronics Product,Brand3,Electronics,Electronics,3,3082,21,9246,7304.34,2024-12-07,UPI,Completed,Store Pickup,STORE2,North,EMP017,Jane Smith
CUST000049,Jane Smith,9627131187,Male,37,South,Regular,PROD000049,Clothing Product,Brand2,Clothing,Clothing,7,2365,5,16555,15727.25,2024-05-21,Debit Card,Completed,Home Delivery,STORE5,South,EMP054,Lisa Anderson
CUST000050,Jane Smith,9966287328,Male,51,West,Regular,PROD000050,Sports Product,Brand5,Sports,Sports,9,3402,12,30618,26943.84,2024-01-02,Credit Card,Cancelled,Home Delivery,STORE6,West,EMP067,Sarah Williams
CUST000051,Mike Johnson,9886059868,Male,21,North,Regular,PROD000051,Beauty Product,Brand5,Beauty,Beauty,9,2175,18,19575,16051.50,2024-01-05,Cash,Completed,Store Pickup,STORE1,North,EMP018,Jane Smith
CUST000052,David Brown,9222495556,Female,45,East,Regular,PROD000052,Home Product,Brand5,Home,Home,1,1399,1,1399,1385.01,2024-07-03,Cash,Completed,Home Delivery,STORE4,East,EMP008,John Doe
CUST000053,Chris Wilson,9220658489,Female,30,Central,Premium,PROD000053,Clothing Product,Brand2,Clothing,Clothing,9,2763,10,24867,22380.30,2024-03-16,Debit Card,Pending,Home Delivery,STORE6,Central,EMP053,John Doe
CUST000054,Lisa Anderson,9322112771,Female,67,North,Regular,PROD000054,Home Product,Brand3,Home,Home,5,3602,25,18010,13507.50,2024-11-03,Cash,Cancelled,Store Pickup,STORE6,North,EMP010,Jane Smith
CUST000055,Lisa Anderson,9696459397,Female,20,South,Regular,PROD000055,Home Product,Brand3,Home,Home,3,2029,2,6087,5965.26,2024-05-23,Credit Card,Completed,Home Delivery,STORE6,South,EMP081,Sarah Williams
CUST000056,David Brown,9780278401,Male,23,South,Regular,PROD000056,Electronics Product,Brand1,Electronics,Electronics,4,4277,13,17108,14883.96,2024-06-21,Debit Card,Completed,Store Pickup,STORE7,South,EMP001,Mike Johnson
CUST000057,Sarah Williams,9196933305,Male,29,South,Premium,PROD000057,Beauty Product,Brand4,Beauty,Beauty,9,3110,21,27990,22112.10,2024-06-14,Cash,Cancelled,Store Pickup,STORE8,South,EMP002,John Doe
CUST000058,Sarah Williams,9820101052,Female,58,Central,Regular,PROD000058,Clothing Product,Brand2,Clothing,Clothing,8,2370,22,18960,14788.80,2024-08-10,Cash,Pending,Store Pickup,STORE2,Central,EMP031,Lisa Anderson
CUST000059,John Doe,9655430012,Female,57,South,Premium,PROD000059,Clothing Product,Brand3,Clothing,Clothing,10,3584,27,35840,26163.20,2024-02-09,Cash,Cancelled,Store Pickup,STORE6,South,EMP032,David Brown
CUST000060,Jane Smith,9945571519,Female,23,West,Premium,PROD000060,Electronics Product,Brand1,Electronics,Electronics,10,4154,20,41540,33232.00,2024-07-09,UPI,Pending,Store Pickup,STORE6,West,EMP096,Sarah Williams
CUST000061,Jane Smith,9462132656,Male,67,West,Regular,PROD000061,Sports Product,Brand1,Sports,Sports,5,2563,16,12815,10764.60,2024-01-06,Credit Card,Completed,Store Pickup,STORE9,West,EMP010,Jane Smith
CUST000062,John Doe,9977192679,Female,53,West,Premium,PROD000062,Sports Product,Brand4,Sports,Sports,10,2150,1,21500,21285.00,2024-01-17,Credit Card,Pending,Home Delivery,STORE6,West,EMP089,Mike Johnson
CUST000063,David Brown,9164944931,Male,55,Central,Regular,PROD000063,Clothing Product,Brand2,Clothing,Clothing,5,4227,18,21135,17330.70,2024-06-08,UPI,Pending,Home Delivery,STORE4,Central,EMP047,Emily Davis
CUST000064,Lisa Anderson,9109306868,Male,44,South,Premium,PROD000064,Sports Product,Brand4,Sports,Sports,3,2460,22,7380,5756.40,2024-02-28,Debit Card,Completed,Home Delivery,STORE1,South,EMP035,Lisa Anderson
CUST000065,John Doe,9231478996,Female,57,Central,Regular,PROD000065,Clothing Product,Brand2,Clothing,Clothing,9,3834,12,34506,30365.28,2024-03-26,Debit Card,Cancelled,Home Delivery,STORE7,Central,EMP031,Lisa Anderson
CUST000066,Sarah Williams,9519806984,Female,41,West,Premium,PROD000066,Sports Product,Brand1,Sports,Sports,5,4109,16,20545,17257.80,2024-11-25,Debit Card,Completed,Home Delivery,STORE3,West,EMP022,Chris Wilson
CUST000067,Mike Johnson,9623530595,Female,59,East,Regular,PROD000067,Electronics Product,Brand2,Electronics,Electronics,3,4416,26,13248,9803.52,2024-03-20,Cash,Cancelled,Store Pickup,STORE9,East,EMP001,John Doe
CUST000068,Emily Davis,9541828732,Male,67,North,Premium,PROD000068,Sports Product,Brand2,Sports,Sports,7,2913,15,20391,17332.35,2024-12-13,UPI,Cancelled,Store Pickup,STORE5,North,EMP035,Chris Wilson
CUST000069,Sarah Williams,9474055785,Female,53,North,Regular,PROD000069,Beauty Product,Brand1,Beauty,Beauty,4,4059,15,16236,13800.60,2024-03-21,UPI,Pending,Store Pickup,STORE1,North,EMP089,Lisa Anderson
CUST000070,Jane Smith,9878184645,Male,62,South,Premium,PROD000070,Beauty Product,Brand3,Beauty,Beauty,10,1039,8,10390,9558.80,2024-11-16,UPI,Cancelled,Store Pickup,STORE4,South,EMP020,John Doe
CUST000071,Lisa Anderson,9340629031,Female,66,North,Regular,PROD000071,Beauty Product,Brand4,Beauty,Beauty,3,3813,15,11439,9723.15,2024-10-01,Cash,Pending,Home Delivery,STORE1,North,EMP097,Emily Davis
CUST000072,Jane Smith,9806004401,Female,43,North,Premium,PROD000072,Electronics Product,Brand5,Electronics,Electronics,3,760,28,2280,1641.60,2024-03-09,Debit Card,Completed,Home Delivery,STORE2,North,EMP046,Mike Johnson
CUST000073,Sarah Williams,9686355083,Female,59,North,Regular,PROD000073,Sports Product,Brand1,Sports,Sports,10,4009,1,40090,39689.10,2024-11-12,UPI,Pending,Home Delivery,STORE7,North,EMP013,Emily Davis
CUST000074,John Doe,9457704599,Female,38,East,Premium,PROD000074,Home Product,Brand2,Home,Home,9,4673,11,42057,37430.73,2024-09-21,Debit Card,Pending,Home Delivery,STORE7,East,EMP033,Chris Wilson
CUST000075,Sarah Williams,9901965936,Male,47,Central,Premium,PROD000075,Sports Product,Brand4,Sports,Sports,2,1409,13,2818,2451.66,2024-01-03,Debit Card,Completed,Store Pickup,STORE3,Central,EMP073,Sarah Williams
CUST000076,David Brown,9688204739,Female,62,West,Premium,PROD000076,Sports Product,Brand2,Sports,Sports,2,4140,26,8280,6127.20,2024-01-25,UPI,Cancelled,Home Delivery,STORE8,West,EMP022,Lisa Anderson
CUST000077,Mike Johnson,9547372086,Male,25,North,Regular,PROD000077,Electronics Product,Brand3,Electronics,Electronics,5,3404,11,17020,15147.80,2024-08-10,Debit Card,Pending,Home Delivery,STORE1,North,EMP089,Mike Johnson
CUST000078,Sarah Williams,9410948602,Female,35,Central,Regular,PROD000078,Electronics Product,Brand3,Electronics,Electronics,5,4246,27,21230,15497.90,2024-01-18,Debit Card,Cancelled,Store Pickup,STORE2,Central,EMP041,John Doe
CUST000079,Sarah Williams,9499885752,Female,69,West,Regular,PROD000079,Clothing Product,Brand3,Clothing,Clothing,2,1818,0,3636,3636.00,2024-02-16,Credit Card,Pending,Home Delivery,STORE8,West,EMP085,John Doe
CUST000080,Mike Johnson,9537156241,Female,24,East,Premium,PROD000080,Clothing Product,Brand5,Clothing,Clothing,10,840,2,8400,8232.00,2024-05-02,Debit Card,Pending,Home Delivery,STORE7,East,EMP032,Lisa Anderson
CUST000081,Emily Davis,9729453140,Female,30,North,Premium,PROD000081,Beauty Product,Brand3,Beauty,Beauty,3,3241,20,9723,7778.40,2024-07-20,UPI,Completed,Home Delivery,STORE4,North,EMP001,Lisa Anderson
CUST000082,Emily Davis,9312754500,Female,48,West,Premium,PROD000082,Clothing Product,Brand2,Clothing,Clothing,5,3013,21,15065,11901.35,2024-04-04,Debit Card,Cancelled,Store Pickup,STORE4,West,EMP094,John Doe
CUST000083,John Doe,9503884562,Female,43,Central,Regular,PROD000083,Beauty Product,Brand2,Beauty,Beauty,1,3276,11,3276,2915.64,2024-04-26,Debit Card,Cancelled,Home Delivery,STORE7,Central,EMP019,Sarah Williams
CUST000084,Emily Davis,9497316221,Female,60,Central,Regular,PROD000084,Clothing Product,Brand5,Clothing,Clothing,9,2164,9,19476,17723.16,2024-06-07,Cash,Cancelled,Home Delivery,STORE9,Central,EMP008,Chris Wilson
CUST000085,David Brown,9875442339,Male,33,West,Premium,PROD000085,Electronics Product,Brand5,Electronics,Electronics,4,2803,7,11212,10427.16,2024-05-22,Debit Card,Pending,Store Pickup,STORE7,West,EMP023,Mike Johnson
CUST000086,David Brown,9411909332,Female,42,Central,Premium,PROD000086,Beauty Product,Brand1,Beauty,Beauty,3,4811,21,14433,11402.07,2024-03-24,Debit Card,Completed,Store Pickup,STORE9,Central,EMP096,Jane Smith
CUST000087,John Doe,9500516100,Female,50,South,Regular,PROD000087,Sports Product,Brand4,Sports,Sports,4,2917,4,11668,11201.28,2024-02-26,Cash,Cancelled,Store Pickup,STORE2,South,EMP037,John Doe
CUST000088,Emily Davis,9684227024,Male,32,North,Regular,PROD000088,Beauty Product,Brand1,Beauty,Beauty,10,3349,5,33490,31815.50,2024-04-28,Credit Card,Pending,Home Delivery,STORE2,North,EMP074,Mike Johnson
CUST000089,Sarah Williams,9521601172,Female,30,Central,Premium,PROD000089,Sports Product,Brand4,Sports,Sports,4,1356,18,5424,4447.68,2024-10-01,Credit Card,Cancelled,Store Pickup,STORE3,Central,EMP068,Lisa Anderson
CUST000090,Chris Wilson,9656046609,Male,68,North,Premium,PROD000090,Clothing Product,Brand3,Clothing,Clothing,7,4018,7,28126,26157.18,2024-10-22,Cash,Cancelled,Store Pickup,STORE1,North,EMP094,Sarah Williams
CUST000091,David Brown,9624093785,Female,32,Central,Premium,PROD000091,Clothing Product,Brand3,Clothing,Clothing,3,1303,14,3909,3361.74,2024-01-12,Credit Card,Cancelled,Home Delivery,STORE4,Central,EMP091,Chris Wilson
CUST000092,Chris Wilson,9837133751,Female,42,South,Regular,PROD000092,Beauty Product,Brand3,Beauty,Beauty,8,4012,28,32096,23109.12,2024-02-26,Cash,Pending,Store Pickup,STORE5,South,EMP045,John Doe
CUST000093,David Brown,9272192053,Female,52,South,Premium,PROD000093,Home Product,Brand4,Home,Home,7,5106,17,35742,29665.86,2024-10-28,UPI,Pending,Store Pickup,STORE6,South,EMP055,Sarah Williams
CUST000094,David Brown,9591764480,Male,30,East,Premium,PROD000094,Electronics Product,Brand2,Electronics,Electronics,7,3046,2,21322,20895.56,2024-03-05,Debit Card,Cancelled,Home Delivery,STORE3,East,EMP030,David Brown
CUST000095,John Doe,9279789553,Female,62,Central,Premium,PROD000095,Beauty Product,Brand5,Beauty,Beauty,5,1700,9,8500,7735.00,2024-02-13,Credit Card,Cancelled,Store Pickup,STORE5,Central,EMP002,David Brown
CUST000096,Emily Davis,9937678252,Female,41,East,Regular,PROD000096,Beauty Product,Brand5,Beauty,Beauty,6,5026,11,30156,26838.84,2024-01-06,Cash,Cancelled,Store Pickup,STORE3,East,EMP048,Jane Smith
CUST000097,David Brown,9103258950,Female,39,Central,Premium,PROD000097,Electronics Product,Brand3,Electronics,Electronics,8,3063,15,24504,20828.40,2024-06-22,UPI,Completed,Home Delivery,STORE10,Central,EMP048,Sarah Williams
CUST000098,Emily Davis,9497807730,Female,31,Central,Regular,PROD000098,Electronics Product,Brand3,Electronics,Electronics,2,3239,14,6478,5571.08,2024-11-01,Credit Card,Completed,Store Pickup,STORE2,Central,EMP095,Chris Wilson
CUST000099,Lisa Anderson,9507593298,Female,60,West,Regular,PROD000099,Beauty Product,Brand5,Beauty,Beauty,6,3960,24,23760,18057.60,2024-10-27,Debit Card,Pending,Store Pickup,STORE5,West,EMP087,David Brown
CUST000100,Lisa Anderson,9173568692,Male,45,North,Premium,PROD000100,Electronics Product,Brand5,Electronics,Electronics,7,3966,10,27762,24985.80,2024-03-04,Debit Card,Pending,Home Delivery,STORE5,North,EMP093,Lisa Anderson
CUST000101,Jane Smith,9210120999,Female,44,Central,Regular,PROD000101,Electronics Product,Brand4,Electronics,Electronics,1,2608,15,2608,2216.80,2024-12-06,Debit Card,Completed,Store Pickup,STORE2,Central,EMP082,Sarah Williams
CUST000102,John Doe,9991031238,Male,25,East,Regular,PROD000102,Home Product,Brand1,Home,Home,4,650,14,2600,2236.00,2024-10-04,UPI,Pending,Home Delivery,STORE1,East,EMP090,Chris Wilson
CUST000103,Mike Johnson,9610751449,Male,42,West,Regular,PROD000103,Clothing Product,Brand1,Clothing,Clothing,9,3952,22,35568,27743.04,2024-06-27,Cash,Cancelled,Store Pickup,STORE3,West,EMP083,Sarah Williams
CUST000104,Jane Smith,9972588880,Male,59,North,Premium,PROD000104,Electronics Product,Brand1,Electronics,Electronics,2,2866,28,5732,4127.04,2024-07-27,UPI,Cancelled,Home Delivery,STORE1,North,EMP093,John Doe
CUST000105,Sarah Williams,9888668043,Female,34,West,Regular,PROD000105,Beauty Product,Brand3,Beauty,Beauty,8,4991,13,39928,34737.36,2024-07-21,Credit Card,Cancelled,Store Pickup,STORE10,West,EMP017,Mike Johnson
CUST000106,Sarah Williams,9746742908,Female,28,South,Premium,PROD000106,Electronics Product,Brand5,Electronics,Electronics,9,4438,2,39942,39143.16,2024-03-06,Cash,Pending,Store Pickup,STORE9,South,EMP056,Jane Smith
CUST000107,John Doe,9345692686,Male,66,Central,Regular,PROD000107,Beauty Product,Brand5,Beauty,Beauty,7,2123,22,14861,11591.58,2024-12-11,Credit Card,Cancelled,Home Delivery,STORE10,Central,EMP032,Chris Wilson
CUST000108,Sarah Williams,9104795191,Female,30,North,Regular,PROD000108,Electronics Product,Brand3,Electronics,Electronics,3,4830,12,14490,12751.20,2024-08-10,Cash,Completed,Store Pickup,STORE9,North,EMP025,Lisa Anderson
CUST000109,Emily Davis,9785945792,Male,63,South,Premium,PROD000109,Clothing Product,Brand1,Clothing,Clothing,1,690,7,690,641.70,2024-12-01,Cash,Completed,Home Delivery,STORE6,South,EMP076,Jane Smith
CUST000110,Lisa Anderson,9458164335,Male,23,East,Regular,PROD000110,Electronics Product,Brand5,Electronics,Electronics,4,1905,27,7620,5562.60,2024-06-21,Cash,Cancelled,Home Delivery,STORE10,East,EMP079,Jane Smith
CUST000111,John Doe,9652546836,Female,44,East,Regular,PROD000111,Clothing Product,Brand1,Clothing,Clothing,9,4254,5,38286,36371.70,2024-10-14,Debit Card,Cancelled,Home Delivery,STORE1,East,EMP072,John Doe
CUST000112,Emily Davis,9528219985,Male,40,North,Premium,PROD000112,Clothing Product,Brand2,Clothing,Clothing,6,3128,14,18768,16140.48,2024-05-08,Cash,Pending,Store Pickup,STORE2,North,EMP091,Jane Smith
CUST000113,Lisa Anderson,9152809044,Male,52,South,Regular,PROD000113,Electronics Product,Brand1,Electronics,Electronics,5,742,19,3710,3005.10,2024-12-12,UPI,Pending,Store Pickup,STORE3,South,EMP083,David Brown
CUST000114,Jane Smith,9554726268,Female,66,South,Regular,PROD000114,Sports Product,Brand4,Sports,Sports,9,3357,12,30213,26587.44,2024-12-12,Credit Card,Completed,Store Pickup,STORE5,South,EMP056,Emily Davis
CUST000115,Emily Davis,9315502329,Female,45,South,Premium,PROD000115,Home Product,Brand3,Home,Home,4,681,29,2724,1934.04,2024-10-10,UPI,Pending,Store Pickup,STORE8,South,EMP010,Lisa Anderson
CUST000116,Sarah Williams,9641886162,Male,23,Central,Premium,PROD000116,Home Product,Brand3,Home,Home,6,3047,19,18282,14808.42,2024-05-01,Cash,Completed,Store Pickup,STORE2,Central,EMP036,Lisa Anderson
CUST000117,David Brown,9626757903,Male,39,North,Regular,PROD000117,Beauty Product,Brand1,Beauty,Beauty,10,1851,5,18510,17584.50,2024-12-02,Cash,Cancelled,Home Delivery,STORE3,North,EMP092,Emily Davis
CUST000118,David Brown,9247599654,Female,47,North,Regular,PROD000118,Sports Product,Brand2,Sports,Sports,1,2315,15,2315,1967.75,2024-10-06,UPI,Cancelled,Home Delivery,STORE6,North,EMP060,Jane Smith
CUST000119,Emily Davis,9955814848,Male,63,East,Regular,PROD000119,Home Product,Brand4,Home,Home,6,2192,22,13152,10258.56,2024-05-10,Debit Card,Cancelled,Home Delivery,STORE1,East,EMP082,Sarah Williams
CUST000120,Emily Davis,9763596710,Male,47,West,Regular,PROD000120,Sports Product,Brand3,Sports,Sports,6,1248,24,7488,5690.88,2024-09-28,Credit Card,Pending,Store Pickup,STORE7,West,EMP083,Lisa Anderson
